Tournament Name,Stage Name,date,time,team1,team2,team1_score,team2_score,result,Home Team Win,Away Team Win,Draw,tournament_year,match_id,team1_elo_start,team2_elo_start,team1_elo_end,team2_elo_end
1958 FIFA World Cup,final,1958-06-29,15:00,Brazil,Sweden,5,2,home team win,1,0,0,1958,136,1709.18,1719.17,2018.51,1634.84
1962 FIFA World Cup,group stage,1962-05-30,15:00,Uruguay,Colombia,2,1,home team win,1,0,0,1962,137,1795.86,1500.0,1802.33,1493.53
1962 FIFA World Cup,group stage,1962-05-30,15:00,Chile,Switzerland,3,1,home team win,1,0,0,1962,138,1495.98,1491.33,1517.69,1469.62
1962 FIFA World Cup,group stage,1962-05-30,15:00,Brazil,Mexico,2,0,home team win,1,0,0,1962,139,2018.51,1347.55,2019.42,1346.64
1962 FIFA World Cup,group stage,1962-05-30,15:00,Argentina,Bulgaria,1,0,home team win,1,0,0,1962,140,1503.85,1500.0,1524.62,1479.23
1962 FIFA World Cup,group stage,1962-05-31,15:00,Soviet Union,Yugoslavia,2,0,home team win,1,0,0,1962,141,1482.86,1492.34,1505.46,1469.74
1962 FIFA World Cup,group stage,1962-05-31,15:00,Germany,Italy,0,0,draw,0,0,1,1962,142,1830.85,2037.07,1841.5,2026.42
1962 FIFA World Cup,group stage,1962-05-31,15:00,Czechoslovakia,Spain,1,0,home team win,1,0,0,1962,143,1500.54,1515.6,1522.45,1493.69
1962 FIFA World Cup,group stage,1962-05-31,15:00,Hungary,England,2,1,home team win,1,0,0,1962,144,1626.42,1477.73,1638.94,1465.21
1962 FIFA World Cup,group stage,1962-06-02,15:00,Yugoslavia,Uruguay,3,1,home team win,1,0,0,1962,145,1469.74,1802.33,1508.09,1763.98
1962 FIFA World Cup,group stage,1962-06-02,15:00,Chile,Italy,2,0,home team win,1,0,0,1962,146,1517.69,2026.42,1559.46,1984.65
1962 FIFA World Cup,group stage,1962-06-02,15:00,Brazil,Czechoslovakia,0,0,draw,0,0,1,1962,147,2019.42,1522.45,2001.59,1540.28
